"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","INT023_02_unauthorized()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.CartIntegrationIT","com.phegon.FoodApp.integration.CartIntegrationIT","INT023_02_unauthorized"
"","1","testGetCurrentLoggedInUser_Success()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testGetCurrentLoggedInUser_Success"
"","1","getMenuById_NotFound()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","GET MENU BY ID TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$GetMenuByIdTests","getMenuById_NotFound"
"","2","getMenuById_Success()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","GET MENU BY ID TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$GetMenuByIdTests","getMenuById_Success"
"","0","INT015_03_forbiddenCustomer()","","Thu Dec 11 09:10:18 UTC 2025","broken","Thu Dec 11 09:10:18 UTC 2025","","com.phegon.FoodApp.integration.MenuIntegrationIT","com.phegon.FoodApp.integration.MenuIntegrationIT","INT015_03_forbiddenCustomer"
"","0","INT013_02_missingToken()","","Thu Dec 11 09:10:18 UTC 2025","broken","Thu Dec 11 09:10:18 UTC 2025","","com.phegon.FoodApp.integration.MenuIntegrationIT","com.phegon.FoodApp.integration.MenuIntegrationIT","INT013_02_missingToken"
"","2","spec_CategoryOnly()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","BUILD SPECIFICATION TESTS (FULL FIX)","com.phegon.FoodApp.unit.MenuServiceImplTest$BuildSpecificationTests","spec_CategoryOnly"
"","2","createRole_ModelMapper_ToDTO_Fails()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","CREATE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$CreateRoleTests","createRole_ModelMapper_ToDTO_Fails"
"","3","testPlaceOrder_OrderRepositorySaveThrows()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.PlaceOrderFromCartTests","com.phegon.FoodApp.unit.OrderServiceImplTest$PlaceOrderFromCartTests","testPlaceOrder_OrderRepositorySaveThrows"
"","1","INT014_06_nameEmpty()","","Thu Dec 11 09:10:18 UTC 2025","broken","Thu Dec 11 09:10:18 UTC 2025","","com.phegon.FoodApp.integration.MenuIntegrationIT","com.phegon.FoodApp.integration.MenuIntegrationIT","INT014_06_nameEmpty"
"","1","INT022_01_getCart_success()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.CartIntegrationIT","com.phegon.FoodApp.integration.CartIntegrationIT","INT022_01_getCart_success"
"","11","getCategoryById_ModelMapperFails()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.GetCategoryByIdTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$GetCategoryByIdTests","getCategoryById_ModelMapperFails"
"","3","updateCategory_UpdateDescriptionField()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.UpdateCategoryTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$UpdateCategoryTests","updateCategory_UpdateDescriptionField"
"","2","testUpdateOwnAccount_InvalidEmailFormat()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testUpdateOwnAccount_InvalidEmailFormat"
"","0","INT014_05_categoryNotFound()","","Thu Dec 11 09:10:18 UTC 2025","broken","Thu Dec 11 09:10:18 UTC 2025","","com.phegon.FoodApp.integration.MenuIntegrationIT","com.phegon.FoodApp.integration.MenuIntegrationIT","INT014_05_categoryNotFound"
"","0","INT018_04_missingMenuId()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.CartIntegrationIT","com.phegon.FoodApp.integration.CartIntegrationIT","INT018_04_missingMenuId"
"","2","getMenuById_ReviewSortDesc()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","GET MENU BY ID TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$GetMenuByIdTests","getMenuById_ReviewSortDesc"
"","4","testUpdateOrderStatus_SaveThrows()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.UpdateOrderStatusTests","com.phegon.FoodApp.unit.OrderServiceImplTest$UpdateOrderStatusTests","testUpdateOrderStatus_SaveThrows"
"","1","INT007b_missingToken()","","Thu Dec 11 09:10:17 UTC 2025","broken","Thu Dec 11 09:10:17 UTC 2025","","com.phegon.FoodApp.integration.UserIntegrationIT","com.phegon.FoodApp.integration.UserIntegrationIT","INT007b_missingToken"
"","43","updateMenu_ImageNamePattern()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","UPDATE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$UpdateMenuTests","updateMenu_ImageNamePattern"
"","1","INT007c_tokenExpired()","","Thu Dec 11 09:10:17 UTC 2025","broken","Thu Dec 11 09:10:17 UTC 2025","","com.phegon.FoodApp.integration.UserIntegrationIT","com.phegon.FoodApp.integration.UserIntegrationIT","INT007c_tokenExpired"
"","1","INT014_03_missingToken()","","Thu Dec 11 09:10:18 UTC 2025","broken","Thu Dec 11 09:10:18 UTC 2025","","com.phegon.FoodApp.integration.MenuIntegrationIT","com.phegon.FoodApp.integration.MenuIntegrationIT","INT014_03_missingToken"
"","2","testRegister_EmailHasWhitespace()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testRegister_EmailHasWhitespace"
"","2","deleteMenu_DeleteFileFails()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","DELETE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$DeleteMenuTests","deleteMenu_DeleteFileFails"
"","4","testGetOrdersOfUser_ModelMapperError()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.GetOrdersOfUserTests","com.phegon.FoodApp.unit.OrderServiceImplTest$GetOrdersOfUserTests","testGetOrdersOfUser_ModelMapperError"
