"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","updateRole_SaveFails()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","UPDATE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$UpdateRoleTests","updateRole_SaveFails"
"","2","updateRole_ModelMapperFails()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","UPDATE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$UpdateRoleTests","updateRole_ModelMapperFails"
"","2","updateMenu_MenuNotFound()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","UPDATE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$UpdateMenuTests","updateMenu_MenuNotFound"
"","8","testGetOrdersOfUser_ModelMapperError()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.GetOrdersOfUserTests","com.phegon.FoodApp.unit.OrderServiceImplTest$GetOrdersOfUserTests","testGetOrdersOfUser_ModelMapperError"
"","4","testUpdatePayment_EmailFailed_Success()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testUpdatePayment_EmailFailed_Success"
"","5","getCategoryById_ModelMapperFails()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.GetCategoryByIdTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$GetCategoryByIdTests","getCategoryById_ModelMapperFails"
"","3","testRegisterInvalidPassword()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testRegisterInvalidPassword"
"","5","testUpdatePayment_Success()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testUpdatePayment_Success"
"","2","testRegisterEmptyBody()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testRegisterEmptyBody"
"","2","testLoginInvalidEmailFormat()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testLoginInvalidEmailFormat"
"","3","testGetPaymentById_ModelMapperError()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testGetPaymentById_ModelMapperError"
"","2","getMenuById_ReviewSortDesc()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","GET MENU BY ID TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$GetMenuByIdTests","getMenuById_ReviewSortDesc"
"","2","createMenu_Success()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","CREATE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$CreateMenuTests","createMenu_Success"
"","1","testGetCurrentLoggedInUser_Success()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testGetCurrentLoggedInUser_Success"
"","4","testPlaceOrder_Success()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.PlaceOrderFromCartTests","com.phegon.FoodApp.unit.OrderServiceImplTest$PlaceOrderFromCartTests","testPlaceOrder_Success"
"","3","createRole_Success()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","CREATE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$CreateRoleTests","createRole_Success"
"","3","testLoginInactiveUser()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testLoginInactiveUser"
"","178","testOrderEmail_TemplateError()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.OrderEmailTests","com.phegon.FoodApp.unit.OrderServiceImplTest$OrderEmailTests","testOrderEmail_TemplateError"
"","3","testGetOrdersOfUser_Success()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.GetOrdersOfUserTests","com.phegon.FoodApp.unit.OrderServiceImplTest$GetOrdersOfUserTests","testGetOrdersOfUser_Success"
"","2","updateRole_Success()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","UPDATE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$UpdateRoleTests","updateRole_Success"
"","3","deleteMenu_DeleteFails()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","DELETE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$DeleteMenuTests","deleteMenu_DeleteFails"
"","3","getMenus_EmptyList()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","com.phegon.FoodApp.unit.MenuServiceImplTest.GetMenusTests","com.phegon.FoodApp.unit.MenuServiceImplTest$GetMenusTests","getMenus_EmptyList"
"","14","getCategoryById_Success()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.GetCategoryByIdTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$GetCategoryByIdTests","getCategoryById_Success"
"","2","testRegisterMissingEmail()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testRegisterMissingEmail"
"","3","testGetPaymentById_OrderNull()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testGetPaymentById_OrderNull"
"","3","testRegister_EmailHasWhitespace()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testRegister_EmailHasWhitespace"
"","4","spec_CategoryOnly()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","BUILD SPECIFICATION TESTS (FULL FIX)","com.phegon.FoodApp.unit.MenuServiceImplTest$BuildSpecificationTests","spec_CategoryOnly"
"","248","testInitializePayment_Success()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testInitializePayment_Success"
